Base,k,n,N,pVal,AvgCompetitiveRatio,StdDev,BatchSize
FirstFit(HeuristicDegree),2,600,100,0.2,1.195,0.5696270709859215,
FirstFit(HeuristicDegree),2,700,100,0.2,1.21,0.4592385001282013,
FirstFit(HeuristicDegree),2,800,100,0.2,1.205,0.4005933099790859,
FirstFit(HeuristicDegree),2,900,100,0.2,1.175,0.4322904116447645,
FirstFit(HeuristicDegree),2,1000,100,0.2,1.355,0.6530505340323979,
FirstFit(HeuristicDegree),3,50,100,0.2,1.3833333333333333,0.51720402163943,
FirstFit(HeuristicDegree),3,100,100,0.2,1.5166666666666666,0.6487166818676188,
FirstFit(HeuristicDegree),3,150,100,0.2,1.67,0.7637553418616607,
FirstFit(HeuristicDegree),3,200,100,0.2,1.5266666666666666,0.781991758979026,
FirstFit(HeuristicDegree),3,300,100,0.2,1.6033333333333333,0.796792179792057,
FirstFit(HeuristicDegree),3,400,100,0.2,1.7266666666666666,0.9926171915138732,
FirstFit(HeuristicDegree),3,500,100,0.2,1.88,1.048300211453443,
FirstFit(HeuristicDegree),3,600,100,0.2,1.8,1.0583005244258363,
FirstFit(HeuristicDegree),3,700,100,0.2,1.7033333333333334,0.9682687872922706,
FirstFit(HeuristicDegree),3,800,100,0.2,1.82,1.0396794377755738,
FirstFit(HeuristicDegree),3,900,100,0.2,1.9366666666666668,1.3422162435481269,
FirstFit(HeuristicDegree),3,1000,100,0.2,1.9933333333333332,1.2823416081528354,
FirstFit(HeuristicDegree),4,50,100,0.2,1.6175,0.3975786085794858,
FirstFit(HeuristicDegree),4,100,100,0.2,2.005,0.6470896383036897,
FirstFit(HeuristicDegree),4,150,100,0.2,2.2625,0.8384323168867002,
FirstFit(HeuristicDegree),4,200,100,0.2,2.4675,1.0633996191460668,
FirstFit(HeuristicDegree),4,300,100,0.2,2.73,1.1930423295088906,
FirstFit(HeuristicDegree),4,400,100,0.2,2.8375,1.3506364240608943,
FirstFit(HeuristicDegree),4,500,100,0.2,3.3,1.678541033159452,
FirstFit(HeuristicDegree),4,600,100,0.2,2.89,1.698278540169427,
FirstFit(HeuristicDegree),4,700,100,0.2,3.295,1.7016095321782845,
FirstFit(HeuristicDegree),4,800,100,0.2,3.59,1.8975378784098087,
FirstFit(HeuristicDegree),4,900,100,0.2,3.555,2.05960554475851,
FirstFit(HeuristicDegree),4,1000,100,0.2,3.4075,2.0293641245473912,
FirstFit(HeuristicDegree),2,50,100,0.3,1.025,0.1299038105676657,
FirstFit(HeuristicDegree),2,100,100,0.3,1.015,0.1107925990308016,
FirstFit(HeuristicDegree),2,150,100,0.3,1.075,0.2046338192968112,
FirstFit(HeuristicDegree),2,200,100,0.3,1.04,0.1685229954635271,
FirstFit(HeuristicDegree),2,300,100,0.3,1.075,0.2046338192968112,
FirstFit(HeuristicDegree),2,400,100,0.3,1.1,0.3,
FirstFit(HeuristicDegree),2,500,100,0.3,1.045,0.1430908802125418,
FirstFit(HeuristicDegree),2,600,100,0.3,1.075,0.248746859276655,
FirstFit(HeuristicDegree),2,700,100,0.3,1.045,0.1745709025009609,
FirstFit(HeuristicDegree),2,800,100,0.3,1.12,0.3009983388658482,
FirstFit(HeuristicDegree),2,900,100,0.3,1.08,0.2420743687382041,
FirstFit(HeuristicDegree),2,1000,100,0.3,1.05,0.2179449471770336,
FirstFit(HeuristicDegree),3,50,100,0.3,1.1166666666666667,0.2881936077631764,
FirstFit(HeuristicDegree),3,100,100,0.3,1.2333333333333334,0.3248931448269654,
FirstFit(HeuristicDegree),3,150,100,0.3,1.24,0.4644710252893428,
FirstFit(HeuristicDegree),3,200,100,0.3,1.1766666666666667,0.307155407643174,
FirstFit(HeuristicDegree),3,300,100,0.3,1.1966666666666668,0.3369635654554427,
FirstFit(HeuristicDegree),3,400,100,0.3,1.21,0.3288194371113457,
FirstFit(HeuristicDegree),3,500,100,0.3,1.27,0.4338330452041558,
FirstFit(HeuristicDegree),3,600,100,0.3,1.2333333333333334,0.4176654695380556,
FirstFit(HeuristicDegree),3,700,100,0.3,1.1866666666666668,0.272111088426114,
FirstFit(HeuristicDegree),3,800,100,0.3,1.2,0.3431876713662333,
FirstFit(HeuristicDegree),3,900,100,0.3,1.3066666666666666,0.4513682901282868,
FirstFit(HeuristicDegree),3,1000,100,0.3,1.2233333333333334,0.3267856926012656,
FirstFit(HeuristicDegree),4,50,100,0.3,1.375,0.375,
FirstFit(HeuristicDegree),4,100,100,0.3,1.3825,0.5273222449318823,
FirstFit(HeuristicDegree),4,150,100,0.3,1.435,0.5685727745856286,
FirstFit(HeuristicDegree),4,200,100,0.3,1.4825,0.598179529907201,
FirstFit(HeuristicDegree),4,300,100,0.3,1.545,0.5951680434969606,
FirstFit(HeuristicDegree),4,400,100,0.3,1.515,0.5829022216461351,
FirstFit(HeuristicDegree),4,500,100,0.3,1.5025,0.6407954041657914,
FirstFit(HeuristicDegree),4,600,100,0.3,1.4875,0.5694020986965187,
FirstFit(HeuristicDegree),4,700,100,0.3,1.68,0.820121942152507,
FirstFit(HeuristicDegree),4,800,100,0.3,1.5875,0.6117342151621078,
FirstFit(HeuristicDegree),4,900,100,0.3,1.5525,0.5271325734575696,
FirstFit(HeuristicDegree),4,1000,100,0.3,1.645,0.6956831175183138,
